Federated Learning Configuration:
  Algorithm: fedavg
  Dataset: CIFAR
  Distribution: IID
  Number of Clients: 3
  Rounds: 20
  Local Epochs: 5
Files already downloaded and verified
Files already downloaded and verified

Running fedavg for ResNet-18

--- FedAvg: Round 1 ---
Client 2, Epoch 4/5, Loss: 6.6088
Client 2, Epoch 5/5, Loss: 5.4479
Client 2 Accuracy (Round 7): 0.9999
Client 3, Epoch 1/5, Loss: 4.9615
Client 3, Epoch 2/5, Loss: 4.6967
Client 3, Epoch 3/5, Loss: 5.7067
Client 3, Epoch 4/5, Loss: 3.5840
Client 3, Epoch 5/5, Loss: 3.6935
Client 3 Accuracy (Round 7): 0.9999
Global Model, Round 7, Loss: 0.5871, Accuracy: 0.83

--- FedAvg: Round 8 ---
Client 1, Epoch 1/5, Loss: 4.4199
Client 1, Epoch 2/5, Loss: 2.6281
Client 1, Epoch 3/5, Loss: 3.1415
Client 1, Epoch 4/5, Loss: 2.4936
Client 1, Epoch 5/5, Loss: 2.6121
Client 1 Accuracy (Round 8): 0.9999
Client 2, Epoch 1/5, Loss: 5.5106
Client 2, Epoch 2/5, Loss: 3.5273
Client 2, Epoch 3/5, Loss: 2.3648
Client 2, Epoch 4/5, Loss: 2.8137
Client 2, Epoch 5/5, Loss: 2.6699
Client 2 Accuracy (Round 8): 1.0000
Client 3, Epoch 1/5, Loss: 4.6366
Client 3, Epoch 2/5, Loss: 3.5217
Client 3, Epoch 3/5, Loss: 3.0459
Client 3, Epoch 4/5, Loss: 2.6089
Client 3, Epoch 5/5, Loss: 3.3048
Client 3 Accuracy (Round 8): 1.0000
Global Model, Round 8, Loss: 0.6031, Accuracy: 0.83

--- FedAvg: Round 9 ---
Client 1, Epoch 1/5, Loss: 2.8623
Client 1, Epoch 2/5, Loss: 2.1596
Client 1, Epoch 3/5, Loss: 2.3862
Client 1, Epoch 4/5, Loss: 3.1485
Client 1, Epoch 5/5, Loss: 2.3638
Client 1 Accuracy (Round 9): 1.0000
Client 2, Epoch 1/5, Loss: 2.8550
Client 2, Epoch 2/5, Loss: 3.7498
Client 2, Epoch 3/5, Loss: 2.5548
Client 2, Epoch 4/5, Loss: 2.2266
Client 2, Epoch 5/5, Loss: 1.3989
Client 2 Accuracy (Round 9): 1.0000
Client 3, Epoch 1/5, Loss: 3.7634
