Federated Learning Configuration:
  Algorithm: fedavg
  Dataset: CIFAR
  Distribution: non-IID
  Number of Clients: 3
  Rounds: 25
  Local Epochs: 5
Files already downloaded and verified
Files already downloaded and verified

Running fedavg for ResNet-18

--- FedAvg: Round 1 ---
Client 2 Accuracy (Round 11): 1.0000
Client 3, Epoch 1/5, Loss: 0.3897
Client 3, Epoch 2/5, Loss: 4.9115
Client 3, Epoch 3/5, Loss: 4.3027
Client 3, Epoch 4/5, Loss: 1.1160
Client 3, Epoch 5/5, Loss: 2.2782
Client 3 Accuracy (Round 11): 0.9784
Global Model, Round 11, Loss: 1.9318, Accuracy: 0.34

--- FedAvg: Round 12 ---
Client 1, Epoch 1/5, Loss: 1.1331
Client 1, Epoch 2/5, Loss: 0.9457
Client 1, Epoch 3/5, Loss: 0.7196
Client 1, Epoch 4/5, Loss: 0.5149
Client 1, Epoch 5/5, Loss: 0.4563
Client 1 Accuracy (Round 12): 1.0000
Client 2, Epoch 1/5, Loss: 0.7683
Client 2, Epoch 2/5, Loss: 2.0942
Client 2, Epoch 3/5, Loss: 1.7226
Client 2, Epoch 4/5, Loss: 1.9184
Client 2, Epoch 5/5, Loss: 0.7390
Client 2 Accuracy (Round 12): 0.9774
Client 3, Epoch 1/5, Loss: 1.1515
Client 3, Epoch 2/5, Loss: 0.5714
Client 3, Epoch 3/5, Loss: 1.1830
Client 3, Epoch 4/5, Loss: 1.6855
Client 3, Epoch 5/5, Loss: 0.7444
Client 3 Accuracy (Round 12): 1.0000
Global Model, Round 12, Loss: 1.8939, Accuracy: 0.36

--- FedAvg: Round 13 ---
Client 1, Epoch 1/5, Loss: 0.2848
Client 1, Epoch 2/5, Loss: 0.3511
Client 1, Epoch 3/5, Loss: 0.4497
Client 1, Epoch 4/5, Loss: 0.2639
Client 1, Epoch 5/5, Loss: 0.6937
Client 1 Accuracy (Round 13): 1.0000
Client 2, Epoch 1/5, Loss: 2.3926
Client 2, Epoch 2/5, Loss: 0.6394
Client 2, Epoch 3/5, Loss: 3.9779
Client 2, Epoch 4/5, Loss: 2.3177
Client 2, Epoch 5/5, Loss: 6.3096
Client 2 Accuracy (Round 13): 0.9466
Client 3, Epoch 1/5, Loss: 0.3025
Client 3, Epoch 2/5, Loss: 0.3085
Client 3, Epoch 3/5, Loss: 0.1606
